account_id,customer_id,account_type,balance,opened_date
1,225,Savings,16902.6,2022-10-24
2,4282,Checking,46625.98,2023-04-02
3,2309,Checking,23209.96,2021-11-13
4,4091,Checking,36292.64,2018-12-19
5,2853,Savings,14054.62,2017-11-30
6,3356,Checking,21852.02,2023-01-11
7,244,Investment,29647.26,2023-01-12
8,1520,Savings,7430.03,2019-12-16
9,3041,Savings,40036.52,2021-06-26
10,2251,Checking,4395.29,2020-10-10
11,2804,Savings,48995.42,2016-07-21
12,3440,Investment,26704.9,2015-06-06
13,1655,Savings,43580.09,2021-11-05
14,3233,Investment,28614.25,2016-02-07
15,2035,Checking,44327.28,2023-04-18
16,4789,Checking,4960.02,2017-11-11
17,594,Investment,3931.24,2019-02-19
18,4984,Checking,40186.76,2015-02-26
19,3247,Checking,28165.82,2022-05-04
20,234,Investment,35836.73,2022-04-28
21,201,Checking,22909.19,2023-08-28
22,4401,Investment,31523.65,2022-02-28
23,3147,Savings,23434.55,2021-02-26
24,4742,Checking,5139.52,2019-07-16
25,4133,Savings,34757.3,2022-01-31
26,3510,Checking,48066.11,2017-01-25
27,2361,Checking,18168.79,2021-04-02
28,2907,Savings,40493.12,2016-10-06
29,4778,Checking,43541.12,2021-07-14
30,638,Checking,30189.11,2016-11-07
31,3908,Checking,4733.19,2017-09-13
32,1566,Savings,29195.19,2018-11-10
33,1102,Savings,49805.41,2020-03-21
34,118,Checking,1527.11,2020-02-02
35,4564,Checking,4646.98,2022-12-27
36,4518,Investment,30515.1,2020-06-30
37,727,Investment,39047.89,2022-01-19
38,3858,Checking,41788.89,2019-08-26
39,3381,Savings,4631.02,2021-12-07
40,4077,Savings,2218.83,2021-08-06
41,1478,Checking,26573.36,2015-08-14
42,2451,Checking,546.19,2017-06-24
43,340,Investment,43675.81,2017-04-24
44,204,Checking,905.39,2020-07-20
45,4072,Checking,20263.56,2019-10-06
46,4896,Savings,12601.73,2018-02-14
47,2476,Savings,7612.48,2015-11-12
48,4780,Investment,37457.01,2020-08-15
49,462,Savings,37094.13,2017-06-06
50,3937,Investment,45371.04,2022-11-09
51,4143,Investment,26779.0,2015-02-06
52,396,Checking,18602.63,2022-02-22
53,3047,Investment,32556.43,2021-10-10
54,1345,Investment,21401.17,2023-12-07
55,3020,Savings,22041.82,2015-09-08
56,1339,Checking,18734.09,2020-03-13
57,3916,Checking,19509.94,2022-05-01
58,4931,Checking,9249.58,2019-06-14
59,4151,Checking,23411.39,2021-11-06
60,2730,Checking,15838.14,2021-01-08
61,3185,Checking,47423.75,2023-07-12
62,796,Checking,40932.9,2021-09-13
63,3270,Savings,34508.98,2016-08-23
64,3140,Savings,5948.23,2015-09-28
65,3422,Investment,24571.28,2017-02-10
66,4997,Investment,23368.67,2023-09-22
67,2379,Investment,26244.1,2018-07-26
68,4994,Savings,3809.01,2019-06-17
69,3965,Investment,40540.03,2017-07-26
70,2258,Savings,38925.47,2019-08-23
71,4476,Checking,42980.44,2023-05-31
72,1997,Investment,43021.35,2016-12-19
73,4214,Checking,37391.84,2017-12-20
74,4916,Investment,22826.01,2020-01-19
75,988,Checking,18014.4,2016-10-25
76,3314,Investment,10870.21,2022-11-03
77,3475,Savings,20437.39,2018-07-14
78,2309,Savings,12677.47,2019-05-28
79,3109,Savings,5719.78,2019-02-20
80,1594,Savings,12504.27,2022-09-18
81,2448,Investment,27382.64,2015-06-16
82,4176,Checking,11551.27,2021-02-02
83,2420,Savings,40820.46,2022-01-20
84,2255,Investment,49117.07,2023-07-20
85,40,Savings,36068.4,2016-04-18
86,4223,Checking,8452.1,2016-01-30
87,4852,Investment,12904.13,2022-06-18
88,4369,Checking,24112.41,2017-03-01
89,2466,Investment,9471.72,2015-01-11
90,2192,Checking,38331.34,2022-12-21
91,2586,Savings,10525.63,2023-04-08
92,4167,Investment,31442.42,2018-10-21
93,4076,Investment,39528.46,2017-08-19
94,1453,Savings,845.48,2019-11-15
95,702,Checking,19135.63,2020-06-01
96,4457,Checking,39573.86,2023-03-09
97,1197,Savings,15478.27,2021-02-20
98,35,Investment,44277.81,2018-05-27
99,96,Savings,24116.2,2015-11-30
100,4233,Investment,6164.7,2022-01-29
101,816,Investment,9445.02,2020-07-09
102,1843,Investment,4337.79,2020-03-30
103,2027,Investment,30664.59,2018-03-05
104,4158,Savings,46732.09,2018-09-01
105,2530,Investment,14996.87,2017-12-06
106,280,Savings,47293.57,2022-04-17
107,3782,Investment,36710.05,2015-09-30
108,3605,Investment,39380.34,2021-11-12
109,1924,Investment,17990.94,2020-11-15
110,4826,Savings,30806.5,2017-06-12
111,1468,Investment,41251.65,2019-01-20
112,4263,Savings,33802.99,2019-03-12
113,148,Investment,47370.12,2021-04-09
114,3313,Investment,2851.76,2023-12-31
115,1391,Savings,35881.36,2017-08-02
116,4133,Investment,37111.23,2015-08-28
117,2432,Savings,36527.36,2015-11-07
118,1090,Investment,11621.21,2022-04-06
119,187,Investment,32024.67,2015-06-06
120,2571,Savings,9898.16,2022-11-25
121,2545,Investment,29661.23,2019-10-07
122,2748,Investment,27314.41,2022-01-11
123,715,Investment,20035.32,2015-01-16
124,4065,Checking,24077.0,2016-02-25
125,523,Checking,12339.3,2016-03-16
126,2925,Investment,33089.8,2019-01-06
127,1980,Checking,25726.33,2022-05-22
128,3603,Savings,7686.66,2018-07-28
129,962,Checking,16193.99,2023-10-06
130,3220,Investment,2540.88,2018-10-18
131,1510,Savings,34490.23,2023-10-15
132,2692,Savings,1828.8,2020-02-15
133,1112,Savings,10349.15,2018-10-31
134,2053,Investment,49554.84,2016-04-01
135,4327,Savings,25097.0,2016-04-26
136,1152,Checking,40420.32,2017-07-31
137,4591,Savings,1158.7,2016-12-01
138,3604,Checking,21107.79,2017-03-10
139,1809,Investment,6958.23,2016-09-17
140,1367,Savings,784.28,2023-01-10
141,380,Investment,33180.25,2020-08-27
142,701,Savings,38195.24,2017-03-12
143,534,Savings,27161.9,2015-06-21
144,2592,Investment,5152.58,2023-10-01
145,3174,Investment,23683.64,2019-03-03
146,772,Savings,14104.22,2015-03-24
147,4054,Checking,26763.35,2023-12-05
148,317,Investment,28442.26,2015-02-23
149,2329,Savings,13398.95,2017-01-26
150,2399,Savings,29041.99,2018-11-20
151,345,Investment,1189.68,2021-05-02
152,4264,Savings,26795.88,2015-01-01
153,1705,Investment,24127.41,2017-01-18
154,4341,Checking,10432.15,2023-11-19
155,4547,Savings,24005.9,2017-02-24
156,1702,Savings,16868.8,2022-10-13
157,3792,Investment,45416.54,2016-01-25
158,3956,Checking,15581.47,2017-10-01
159,1541,Investment,16943.01,2021-07-09
160,35,Investment,47173.99,2015-04-17
161,4200,Investment,36521.28,2020-08-08
162,3947,Checking,38215.52,2022-04-10
163,1614,Savings,44186.91,2022-04-16
164,4758,Savings,38925.07,2017-12-22
165,4483,Investment,19398.22,2023-01-12
166,399,Savings,21677.94,2016-07-28
167,1624,Checking,29605.44,2015-03-25
168,4609,Investment,197.27,2020-11-18
169,358,Checking,35586.21,2021-02-03
170,831,Savings,40224.49,2020-02-29
171,206,Savings,25506.39,2020-08-15
172,1069,Checking,43464.52,2016-02-11
173,4788,Investment,29985.33,2016-05-16
174,624,Savings,24800.99,2015-05-09
175,4973,Checking,14812.15,2022-03-01
176,4124,Investment,9859.54,2015-05-09
177,3776,Investment,18521.82,2022-01-26
178,3475,Investment,3503.78,2023-11-15
179,4196,Checking,45273.5,2015-05-24
180,874,Savings,25063.8,2021-03-20
181,804,Investment,44403.37,2021-08-17
182,4435,Investment,17986.97,2017-05-21
183,4462,Savings,35945.57,2018-01-18
184,3656,Investment,7196.59,2016-08-28
185,1088,Savings,12413.81,2018-08-14
186,4474,Investment,30189.66,2021-09-02
187,3560,Checking,4896.25,2015-11-30
188,298,Savings,11677.01,2020-01-20
189,3905,Investment,31981.61,2021-05-03
190,1229,Investment,26472.85,2017-11-03
191,1791,Savings,42778.32,2019-11-25
192,2749,Investment,42572.3,2020-02-06
193,3655,Investment,13638.02,2018-07-07
194,948,Investment,15539.07,2015-09-24
195,1600,Savings,21389.72,2018-01-04
196,960,Investment,11988.07,2021-04-08
197,2001,Checking,39715.15,2022-11-05
198,4503,Savings,19835.64,2021-02-18
199,3818,Savings,11743.9,2017-01-29
200,3812,Savings,35792.3,2023-06-21
201,155,Investment,38388.14,2023-05-29
202,520,Investment,18121.43,2019-09-14
203,198,Savings,9881.31,2015-12-22
204,873,Savings,34472.65,2022-05-27
205,233,Investment,37633.83,2021-06-22
206,2622,Checking,16750.93,2020-08-04
207,2423,Savings,12211.64,2016-06-23
208,467,Investment,31548.04,2016-02-03
209,3654,Investment,43787.57,2019-02-22
210,3215,Savings,18350.49,2015-03-02
211,1323,Savings,2542.95,2020-09-28
212,4485,Savings,49167.88,2020-03-27
213,267,Investment,20344.03,2022-04-10
214,4018,Checking,35843.46,2017-06-13
215,4978,Investment,33170.52,2015-05-12
216,3059,Investment,9672.26,2020-01-29
217,1450,Investment,46980.97,2021-07-18
218,3099,Investment,13330.83,2019-09-27
219,2635,Investment,28894.28,2023-06-04
220,3948,Savings,14994.77,2018-08-09
221,610,Savings,15682.08,2015-07-22
222,2707,Checking,26340.58,2015-06-27
223,1124,Investment,46116.41,2020-03-20
224,4789,Investment,3072.07,2017-02-17
225,3595,Investment,10633.42,2021-04-12
226,508,Checking,12203.47,2019-12-17
227,4037,Investment,22277.59,2018-11-09
228,345,Investment,2710.24,2020-12-02
229,1996,Checking,39526.67,2015-03-27
230,4721,Checking,29504.87,2016-10-28
231,3195,Investment,16316.99,2020-03-30
232,3915,Investment,32030.06,2015-09-24
233,1546,Checking,16708.15,2016-05-11
234,2727,Savings,37606.26,2016-04-11
235,4610,Investment,47061.52,2020-07-01
236,3133,Investment,30526.61,2015-03-23
237,3853,Checking,32783.94,2016-06-21
238,3966,Savings,15673.65,2017-10-08
239,431,Checking,25325.14,2018-05-10
240,4987,Savings,32526.82,2019-06-08
241,2862,Savings,37612.55,2022-12-21
242,4976,Savings,15336.91,2015-04-04
243,4543,Investment,29796.15,2020-10-08
244,1677,Savings,1691.64,2015-11-24
245,3561,Savings,33719.05,2018-12-21
246,4726,Checking,9478.37,2015-01-13
247,449,Investment,38156.76,2016-04-25
248,1870,Savings,4151.38,2016-04-06
249,1376,Checking,3992.51,2023-10-10
250,1293,Checking,7652.9,2017-06-29
251,4649,Checking,30560.78,2015-05-26
252,1029,Savings,14701.49,2017-02-10
253,3115,Savings,33288.75,2019-04-05
254,4027,Savings,13731.97,2020-04-22
255,394,Investment,22940.19,2016-08-15
256,1692,Investment,11946.07,2022-05-08
257,1116,Savings,21741.55,2022-06-25
258,85,Investment,35355.9,2023-01-01
259,4689,Checking,34454.54,2023-08-11
260,2317,Investment,43246.05,2016-06-30
261,1817,Investment,35548.14,2018-05-23
262,3969,Investment,9760.22,2022-03-23
263,454,Savings,5969.14,2020-12-15
264,4384,Investment,49364.57,2023-12-16
265,2510,Checking,44280.28,2019-12-09
266,2284,Savings,25778.18,2021-05-04
267,1698,Savings,23621.88,2022-03-13
268,3810,Investment,46650.17,2017-06-21
269,435,Investment,48023.94,2017-05-09
270,302,Checking,9642.87,2021-07-25
271,1405,Investment,40727.18,2020-11-23
272,1751,Savings,43862.03,2022-01-20
273,1540,Checking,45689.64,2015-05-27
274,2803,Savings,48583.84,2019-01-05
275,2541,Investment,16906.53,2019-08-01
276,2130,Savings,24011.58,2022-03-30
277,3955,Checking,14781.1,2019-09-04
278,242,Savings,21288.3,2017-10-29
279,2871,Investment,17645.25,2021-04-08
280,3606,Investment,43131.65,2019-05-23
281,2201,Checking,22051.83,2018-01-06
282,2924,Investment,26525.14,2015-03-18
283,1722,Checking,5896.09,2018-07-02
284,313,Savings,35436.79,2015-11-06
285,3304,Checking,48478.8,2021-08-17
286,1462,Savings,26117.91,2023-04-26
287,2636,Investment,48907.64,2015-06-16
288,1168,Investment,18224.04,2018-07-11
289,3536,Savings,41964.81,2023-02-14
290,2314,Checking,36279.37,2017-09-23
291,3686,Investment,29354.44,2019-02-21
292,3249,Investment,35705.4,2022-09-26
293,2863,Checking,13283.83,2020-01-09
294,2285,Savings,38175.41,2021-01-24
295,371,Checking,17925.48,2023-06-28
296,3032,Checking,39095.55,2018-05-01
297,4458,Savings,3848.55,2018-07-08
298,961,Checking,4581.66,2022-04-07
299,2494,Investment,45565.19,2017-08-15
300,1259,Savings,32691.24,2021-06-09
301,1456,Investment,5140.15,2017-02-12
302,2537,Investment,28105.74,2022-11-19
303,1670,Checking,27586.45,2019-02-24
304,318,Investment,13410.51,2015-05-17
305,4,Checking,38293.2,2023-06-06
306,4557,Savings,44331.75,2017-07-23
307,4317,Savings,40547.47,2023-07-14
308,4720,Investment,10895.47,2018-01-17
309,987,Investment,31440.63,2015-09-07
310,2433,Savings,42836.56,2016-11-23
311,658,Savings,12445.64,2021-12-09
312,3126,Checking,45204.94,2023-03-06
313,1736,Savings,45117.4,2022-02-06
314,1327,Investment,45995.32,2021-03-06
315,501,Checking,32360.77,2015-01-08
316,4754,Savings,1045.88,2015-05-20
317,3628,Checking,37771.03,2021-08-02
318,4781,Checking,27408.79,2016-10-03
319,121,Investment,26587.29,2016-08-17
320,876,Checking,15181.7,2020-07-07
321,3555,Checking,43152.18,2022-10-26
322,3970,Checking,36218.13,2019-07-10
323,25,Investment,11293.94,2016-10-05
324,4336,Checking,22150.75,2015-03-27
325,2528,Checking,8623.94,2017-01-11
326,2304,Investment,33465.15,2019-03-29
327,2046,Checking,17300.98,2019-01-30
328,3932,Checking,32820.24,2019-04-19
329,4907,Investment,22765.05,2022-01-01
330,3226,Checking,44061.24,2015-04-25
331,1558,Checking,15635.92,2020-06-13
332,1906,Savings,9331.47,2019-01-26
333,4043,Savings,11443.27,2019-09-30
334,337,Checking,34967.78,2019-01-01
335,3165,Savings,13683.18,2019-11-05
336,161,Investment,25592.04,2022-04-08
337,3112,Checking,32905.86,2015-03-18
338,1298,Savings,26930.05,2018-07-22
339,1142,Savings,12912.46,2022-05-28
340,932,Savings,25397.25,2017-09-15
341,1366,Investment,24195.05,2022-03-16
342,2145,Savings,32619.81,2022-08-14
343,3143,Investment,37933.4,2016-01-09
344,4205,Checking,22185.72,2023-09-17
345,3305,Savings,24746.05,2018-03-14
346,4035,Investment,29990.36,2020-01-23
347,2496,Investment,38208.2,2015-08-03
348,171,Savings,43623.62,2016-08-02
349,4963,Investment,39322.87,2020-11-15
350,3675,Savings,42247.67,2023-03-13
351,188,Savings,40590.84,2015-02-12
352,380,Savings,25805.61,2023-07-14
353,4212,Checking,30162.49,2019-11-27
354,1259,Checking,13610.13,2015-10-21
355,2559,Investment,13138.98,2018-05-29
356,4341,Investment,25500.7,2018-02-19
357,3722,Investment,2734.95,2019-09-03
358,1605,Savings,2702.49,2017-09-25
359,1020,Checking,30965.16,2017-03-21
360,1804,Checking,27691.42,2015-07-11
361,1452,Investment,32377.17,2015-05-05
362,4591,Savings,12533.45,2023-05-29
363,350,Checking,36961.36,2016-04-10
364,73,Savings,43555.79,2015-11-17
365,1869,Savings,45152.19,2018-03-12
366,896,Investment,47988.98,2023-04-13
367,4666,Investment,16704.93,2017-03-27
368,949,Investment,16929.12,2018-08-23
369,4677,Savings,19025.97,2015-12-30
370,3757,Investment,37714.43,2015-10-15
371,1760,Investment,36074.23,2020-06-13
372,599,Savings,20850.21,2016-02-24
373,4158,Investment,1459.03,2020-06-03
374,2119,Investment,3419.53,2023-01-16
375,809,Checking,47929.82,2015-05-22
376,2983,Savings,16166.76,2017-07-17
377,2579,Investment,19162.6,2023-09-29
378,4754,Savings,23748.63,2016-01-01
379,631,Investment,46724.47,2018-12-20
380,2398,Checking,31603.89,2016-12-15
381,4083,Savings,8008.68,2019-02-16
382,1996,Savings,40895.07,2019-05-12
383,1203,Savings,18301.87,2017-02-25
384,3435,Investment,24628.25,2017-05-22
385,2730,Checking,46287.87,2018-03-26
386,145,Checking,41549.29,2023-03-13
387,3824,Investment,39356.17,2020-08-14
388,4429,Investment,1558.61,2018-11-20
389,1200,Checking,2903.16,2016-07-27
390,2262,Savings,13005.01,2017-11-28
391,3455,Investment,1500.4,2020-01-28
392,1143,Checking,22861.92,2019-01-24
393,4685,Checking,47696.53,2019-12-21
394,4836,Savings,31017.69,2018-04-20
395,2360,Investment,47557.12,2015-05-07
396,2450,Savings,23007.43,2023-11-12
397,1856,Savings,13822.22,2022-12-06
398,4850,Savings,30094.43,2015-07-28
399,373,Investment,38698.31,2022-05-23
400,88,Checking,39487.05,2018-02-17
401,1012,Investment,14324.82,2016-12-04
402,4495,Checking,6278.95,2015-06-08
403,756,Checking,988.41,2019-08-17
404,1291,Investment,24184.52,2021-03-26
405,992,Savings,26570.5,2019-12-17
406,2065,Checking,17931.64,2016-05-10
407,1388,Savings,47867.35,2017-12-13
408,1555,Checking,19393.81,2018-05-03
409,4206,Savings,40887.32,2019-07-26
410,1851,Investment,26071.95,2023-09-11
411,2887,Investment,15931.23,2015-10-21
412,250,Checking,30371.01,2021-10-20
413,2641,Checking,30046.58,2015-02-17
414,2004,Savings,31427.38,2019-03-04
415,3895,Checking,22512.11,2015-09-25
416,2039,Checking,169.58,2020-06-16
417,2077,Checking,26691.23,2016-10-15
418,1638,Investment,39480.8,2017-10-28
419,4392,Investment,601.96,2018-05-26
