investment_id,customer_id,investment_type,amount_invested,return_rate
1,4164,ETF,15182.23,0.0399
2,15,Mutual Funds,28853.21,0.1457
3,392,Mutual Funds,24024.86,0.0852
4,2753,Stocks,39820.5,0.0217
5,3554,ETF,40190.9,0.0967
6,1720,ETF,31203.2,0.0171
7,3125,ETF,4697.55,0.1123
8,1647,Mutual Funds,30881.21,0.024
9,4400,Bonds,44604.05,0.1123
10,2009,Mutual Funds,25944.46,0.1036
11,2673,Bonds,40136.68,0.0335
12,3882,Mutual Funds,12950.52,0.0233
13,4967,Stocks,7190.74,0.1475
14,4219,Bonds,38573.28,0.1427
15,4803,Stocks,6850.8,0.0193
16,633,Mutual Funds,15188.86,0.0281
17,4495,Bonds,29384.4,0.1075
18,3234,Mutual Funds,3014.7,0.1163
19,1711,Bonds,9436.05,0.0104
20,2373,Bonds,35989.0,0.0508
21,1525,Stocks,4836.56,0.0191
22,914,Stocks,38255.72,0.0359
23,3381,Bonds,20167.11,0.1143
24,2924,Stocks,13726.68,0.1155
25,4763,Mutual Funds,4830.71,0.1483
26,411,Stocks,2932.21,0.1195
27,4018,Bonds,48369.48,0.1012
28,4969,Mutual Funds,36977.49,0.0387
29,3208,Mutual Funds,2644.86,0.0106
30,2041,ETF,48558.7,0.0101
31,1684,ETF,8357.2,0.0229
32,1285,ETF,5436.72,0.0665
33,2496,ETF,32294.44,0.06
34,1819,ETF,4065.53,0.1277
35,3449,Stocks,5286.61,0.0817
36,1174,Bonds,7809.75,0.0786
37,2468,Stocks,41577.02,0.0279
38,2617,Bonds,36238.3,0.0792
39,604,Bonds,18264.29,0.0216
40,1366,Bonds,46069.68,0.0141
41,3879,Bonds,7383.17,0.1152
42,895,ETF,17261.34,0.0698
43,4272,Stocks,18687.0,0.0363
44,4822,Stocks,17121.36,0.042
45,3543,Stocks,22625.15,0.136
46,4996,ETF,39514.05,0.0721
47,2052,Stocks,23215.99,0.0709
48,3243,Stocks,24944.48,0.0548
49,1525,Stocks,15651.67,0.0611
50,3536,ETF,7094.15,0.0351
51,1208,ETF,19734.63,0.1291
52,1540,Stocks,10359.93,0.1273
53,1007,Mutual Funds,31397.8,0.127
54,2423,ETF,5017.36,0.1211
55,3618,ETF,8019.31,0.0203
56,3140,Mutual Funds,16631.24,0.0585
57,1541,Mutual Funds,7000.85,0.0811
58,918,ETF,24836.22,0.0757
59,4459,ETF,39857.03,0.0223
60,4317,Mutual Funds,31829.52,0.0568
61,3547,Stocks,42782.59,0.0781
62,3603,ETF,45699.52,0.1411
63,1361,Mutual Funds,17015.06,0.0529
64,2484,ETF,30087.08,0.1052
65,1394,Stocks,18111.07,0.1284
66,589,Stocks,26237.83,0.0134
67,2328,Mutual Funds,48499.05,0.1437
68,250,ETF,7999.15,0.1331
69,4138,Stocks,2446.62,0.1168
70,1532,Mutual Funds,3485.75,0.132
71,4028,ETF,17214.92,0.055
72,510,Stocks,28928.15,0.0308
73,502,ETF,45753.86,0.0887
74,668,Stocks,33430.84,0.0387
75,2790,Mutual Funds,12938.04,0.1249
76,1930,Bonds,31158.7,0.0352
77,1300,Mutual Funds,15987.17,0.0559
78,4947,Stocks,22506.56,0.0593
79,57,Mutual Funds,38426.48,0.1058
80,1114,Mutual Funds,7194.7,0.087
81,2414,Stocks,33677.99,0.1062
82,274,Mutual Funds,48402.43,0.1199
83,4917,Bonds,42294.34,0.0849
84,1652,ETF,44399.84,0.1285
85,2320,Bonds,37282.23,0.1217
86,1819,Stocks,14192.85,0.0378
87,2891,Stocks,14332.29,0.0127
88,3159,ETF,23534.1,0.136
89,901,ETF,1220.24,0.011
90,763,Mutual Funds,37401.05,0.0103
91,4578,Mutual Funds,30650.18,0.037
92,4632,Stocks,27175.03,0.051
93,1838,Stocks,43662.37,0.0119
94,2920,Stocks,31806.28,0.1008
95,2269,Mutual Funds,32014.65,0.0452
96,2235,Mutual Funds,21475.79,0.0736
97,3181,Bonds,7080.82,0.0522
98,2742,Mutual Funds,24415.86,0.0743
99,4748,Stocks,10316.19,0.0242
100,3532,ETF,37845.68,0.0431
101,3181,Mutual Funds,19006.24,0.0291
102,3798,Stocks,33500.61,0.1287
103,3737,ETF,36320.11,0.143
104,1104,Bonds,45109.65,0.0527
105,897,Stocks,17537.68,0.0259
106,4821,Stocks,39101.86,0.0201
107,1548,Stocks,32479.41,0.0734
108,4544,Bonds,8353.18,0.1221
109,1733,Stocks,48222.11,0.1154
110,1222,Mutual Funds,11685.32,0.1278
111,2975,Stocks,11984.36,0.0786
112,4280,Bonds,4772.91,0.1297
113,2187,ETF,21607.44,0.1352
114,1114,Bonds,39621.05,0.0682
115,2226,Stocks,30187.43,0.1273
116,2203,Stocks,14050.18,0.0419
117,521,Mutual Funds,15258.11,0.0582
118,2161,Stocks,25742.56,0.1485
119,3047,Mutual Funds,35876.69,0.1363
120,4432,ETF,14385.71,0.0682
121,4876,Stocks,20528.73,0.023
122,2340,Mutual Funds,38567.51,0.1111
123,204,ETF,30187.22,0.0779
124,4840,Mutual Funds,15571.72,0.0936
125,3285,ETF,4203.29,0.0904
126,4149,ETF,35251.09,0.1195
127,4710,ETF,27381.24,0.0999
128,3311,Stocks,35722.23,0.0432
129,2686,Stocks,32124.74,0.0883
130,2493,ETF,11594.4,0.1342
131,3769,ETF,47044.98,0.0704
132,3284,Stocks,43086.98,0.1265
133,3171,ETF,47465.66,0.0903
134,3631,ETF,30601.46,0.1276
135,4593,Bonds,26736.2,0.139
136,809,ETF,3271.07,0.1269
137,2747,ETF,17005.48,0.1159
138,1995,Mutual Funds,39633.05,0.1379
139,1851,ETF,39910.63,0.0609
140,903,Bonds,19675.54,0.0939
141,1987,Mutual Funds,12032.0,0.0935
142,4879,ETF,2604.62,0.1232
143,1384,Stocks,34404.58,0.0954
144,744,Mutual Funds,20221.49,0.0673
145,4738,Mutual Funds,44660.89,0.0815
146,2213,Bonds,43237.79,0.0148
147,798,Bonds,16594.0,0.096
148,1359,Bonds,22583.63,0.0627
149,4833,ETF,16605.5,0.0614
150,3606,ETF,32506.43,0.1382
151,1636,Mutual Funds,26251.78,0.126
152,571,Stocks,43128.8,0.0745
153,4805,Bonds,19003.12,0.0927
154,207,Mutual Funds,20047.61,0.0786
155,2426,ETF,8472.94,0.027
156,4234,Stocks,27331.22,0.0163
157,1472,Stocks,32435.41,0.0334
158,3887,ETF,20648.9,0.1469
159,4877,Bonds,13800.48,0.0964
160,721,Stocks,19559.28,0.1216
161,1936,Mutual Funds,11763.64,0.0935
162,4688,Mutual Funds,16628.29,0.0532
163,3744,Mutual Funds,20934.78,0.0858
164,3209,ETF,1489.43,0.1276
165,236,Mutual Funds,24710.32,0.0513
166,3976,ETF,6559.05,0.0703
167,4605,Mutual Funds,46644.89,0.0395
168,4228,ETF,11859.07,0.0459
169,220,ETF,22125.06,0.1427
170,2343,Bonds,4965.41,0.0431
171,4970,Stocks,18835.25,0.0394
172,3159,Stocks,38864.57,0.1149
