transaction_id,account_id,transaction_date,amount,transaction_type
1,5238,2023-08-07,-618.31,Deposit
2,4486,2023-02-05,-3556.01,Withdrawal
3,3877,2023-05-06,-3942.13,Deposit
4,1649,2023-03-02,-4868.98,Withdrawal
5,3459,2023-12-27,1079.12,Deposit
6,4945,2023-12-22,-721.67,Withdrawal
7,5908,2023-12-28,1542.99,Withdrawal
8,2327,2023-06-22,-3667.2,Deposit
9,923,2024-01-12,3321.24,Withdrawal
10,2109,2023-03-02,-79.84,Deposit
11,4175,2023-07-16,1962.87,Withdrawal
12,4087,2023-10-22,2856.77,Deposit
13,4461,2024-01-30,3945.47,Withdrawal
14,4057,2023-11-28,-3367.91,Deposit
15,1941,2023-08-17,3274.63,Withdrawal
16,5089,2023-06-24,3060.32,Deposit
17,3447,2023-04-28,4683.7,Withdrawal
18,439,2023-10-02,1948.92,Deposit
19,5210,2023-04-08,3893.52,Deposit
20,5498,2023-03-05,-3918.96,Deposit
21,5410,2023-09-11,2094.9,Withdrawal
22,4011,2023-12-31,2919.21,Deposit
23,3334,2023-03-07,-4886.29,Deposit
24,2175,2023-01-15,-2980.36,Withdrawal
25,1008,2023-08-17,4913.05,Withdrawal
26,1876,2023-09-21,709.61,Deposit
27,2018,2023-06-03,-2390.58,Deposit
28,2900,2023-03-15,-1691.32,Withdrawal
29,2828,2023-05-25,251.46,Withdrawal
30,5484,2023-01-17,-3129.79,Withdrawal
31,1985,2023-12-28,-3982.66,Deposit
32,4745,2023-02-19,2942.26,Deposit
33,3097,2023-09-22,-1409.94,Withdrawal
34,3603,2023-03-13,-1931.83,Deposit
35,5773,2023-10-29,402.31,Deposit
36,458,2023-12-20,964.57,Deposit
37,5182,2024-01-19,-1144.44,Withdrawal
38,444,2023-10-15,3350.83,Withdrawal
39,3171,2023-04-14,-4857.85,Deposit
40,5477,2023-01-26,-1041.89,Deposit
41,2024,2023-02-20,-1175.27,Deposit
42,2648,2023-06-18,3022.93,Deposit
43,1467,2023-04-04,-4660.43,Withdrawal
44,2532,2023-03-23,1762.68,Deposit
45,5095,2023-03-15,1067.59,Withdrawal
46,2888,2023-05-07,-3281.69,Deposit
47,2927,2023-07-01,-519.09,Deposit
48,1572,2023-06-30,-3795.39,Deposit
49,167,2023-08-27,4097.51,Withdrawal
50,2923,2023-07-15,548.86,Deposit
51,4079,2023-05-28,4409.74,Withdrawal
52,1102,2023-06-27,4345.65,Withdrawal
53,2961,2023-09-07,2922.12,Deposit
54,3001,2023-03-03,4750.28,Deposit
55,3098,2023-02-04,-4211.6,Deposit
56,5408,2023-01-11,1492.32,Deposit
57,437,2023-10-23,1094.39,Withdrawal
58,620,2023-01-10,4981.84,Deposit
59,5748,2023-12-30,-805.1,Deposit
60,4931,2023-01-17,-4056.9,Withdrawal
61,3335,2023-02-22,-1151.1,Withdrawal
62,5724,2023-04-27,-3834.99,Withdrawal
63,3834,2023-04-12,-3917.3,Deposit
64,4280,2023-03-08,954.32,Withdrawal
65,4062,2023-09-11,1957.28,Deposit
66,2294,2023-05-21,1279.2,Deposit
67,4644,2023-03-28,-1057.2,Deposit
68,2124,2023-03-30,-2032.0,Withdrawal
69,5979,2023-01-31,2243.57,Withdrawal
70,3561,2023-01-01,-4006.76,Withdrawal
71,2425,2023-04-25,-2007.76,Deposit
72,3009,2023-01-22,616.84,Deposit
73,132,2023-03-06,3211.63,Deposit
74,3675,2023-01-21,-1510.2,Withdrawal
75,4964,2024-01-04,-3904.23,Withdrawal
76,5240,2023-09-06,-3341.01,Withdrawal
77,5157,2023-07-25,2940.74,Withdrawal
78,2065,2023-10-22,-4102.46,Withdrawal
79,808,2023-09-26,1878.98,Withdrawal
80,4802,2023-09-21,134.46,Deposit
81,3681,2023-03-17,-1893.7,Deposit
82,1133,2023-06-11,4976.17,Deposit
83,757,2023-02-22,3952.72,Deposit
84,5901,2023-03-16,-2859.83,Deposit
85,712,2023-03-19,1356.61,Withdrawal
86,1290,2023-04-19,-1318.74,Withdrawal
87,4975,2023-07-20,-2291.18,Withdrawal
88,1134,2023-10-09,-2441.04,Withdrawal
89,1849,2023-11-29,3434.11,Withdrawal
90,5839,2023-09-15,1391.84,Deposit
91,2178,2023-03-05,-1655.44,Deposit
92,5961,2023-01-02,113.25,Withdrawal
93,5933,2023-06-06,-3916.86,Withdrawal
94,3807,2024-01-23,2891.39,Withdrawal
95,2217,2023-02-07,-2615.02,Withdrawal
96,673,2023-10-10,-4219.36,Withdrawal
97,4130,2023-10-29,3633.84,Deposit
98,1436,2023-03-13,3267.82,Withdrawal
99,2761,2023-08-19,3489.25,Withdrawal
100,443,2023-01-14,-3861.8,Deposit
101,1365,2023-01-15,3601.46,Deposit
102,275,2023-10-10,-3483.38,Withdrawal
103,367,2023-12-06,1269.54,Withdrawal
104,1357,2023-02-07,3227.58,Deposit
105,3262,2023-03-03,1652.77,Deposit
106,2747,2023-03-25,-3722.0,Withdrawal
107,920,2023-01-30,-2558.58,Withdrawal
108,5668,2023-07-12,398.02,Withdrawal
109,418,2023-10-05,4422.32,Deposit
110,2645,2023-10-25,3072.31,Deposit
111,1887,2023-06-30,1820.07,Withdrawal
112,834,2023-11-07,49.2,Deposit
113,3892,2023-08-27,3817.77,Withdrawal
114,4396,2023-12-03,-844.27,Deposit
115,979,2023-05-19,1233.85,Withdrawal
116,5757,2023-03-01,-3180.33,Withdrawal
117,1986,2023-10-18,-2939.25,Withdrawal
118,4932,2023-10-22,4478.84,Deposit
119,1915,2023-06-23,-1801.81,Deposit
120,2446,2023-09-04,1132.5,Deposit
121,5098,2024-01-06,-452.73,Deposit
122,3045,2023-10-16,-4962.05,Withdrawal
123,3872,2023-02-10,2259.94,Withdrawal
124,3709,2023-08-26,2777.21,Deposit
125,1360,2023-10-11,3381.11,Withdrawal
126,4293,2023-03-19,4447.19,Deposit
127,793,2023-04-07,4257.86,Withdrawal
128,2920,2023-02-20,-3660.89,Withdrawal
129,629,2023-09-30,-4034.73,Deposit
130,4316,2023-12-16,-1545.97,Deposit
131,5617,2023-01-06,4270.89,Deposit
132,4543,2023-11-08,-373.56,Withdrawal
133,997,2023-11-10,-2989.39,Deposit
134,4302,2024-01-09,2533.3,Withdrawal
135,1642,2023-11-03,-1680.74,Withdrawal
136,5355,2023-06-14,3727.87,Deposit
137,5475,2023-08-10,2693.13,Deposit
138,4168,2023-07-20,-4855.18,Withdrawal
139,749,2023-02-18,2889.66,Deposit
140,4133,2023-05-30,-4995.34,Withdrawal
141,619,2023-08-16,1612.96,Deposit
142,3131,2023-06-24,3169.8,Deposit
143,1140,2023-12-06,-654.67,Deposit
144,1097,2023-04-03,-2871.8,Deposit
145,5767,2023-05-29,1233.58,Withdrawal
146,4967,2023-06-24,3577.28,Withdrawal
147,4185,2023-05-26,1679.88,Deposit
148,5372,2023-06-19,3134.61,Withdrawal
